동별(1),동별(2),2020. 03,2020. 03,2021. 03,2021. 03,2022. 03,2022. 03,2023. 03,2023. 03,2024. 03,2024. 03,2025. 03,2025. 03
동별(1),동별(2),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명)
합계,소계,"4,354,006","10,013,781","4,400,403","9,828,094","4,451,444","9,732,617","4,463,385","9,668,008","4,485,819","9,635,445","4,497,896","9,602,826"
,종로구,"74,151","161,984","74,113","156,567","73,766","153,684","72,679","152,212","72,404","150,550","72,387","149,478"
,중구,"63,045","136,469","63,746","133,708","63,767","131,450","63,862","131,390","65,132","131,812","64,863","130,418"
,용산구,"110,895","246,165","112,881","243,336","111,207","236,518","109,735","232,482","106,272","223,433","103,236","216,537"
,성동구,"135,643","307,193","135,883","298,421","134,533","291,609","133,513","287,240","133,374","284,258","132,253","281,062"
,광진구,"165,287","365,990","166,638","356,191","169,483","353,110","169,787","350,925","170,557","350,925","170,639","348,660"
,동대문구,"165,279","362,793","165,924","352,570","169,695","352,592","171,140","354,884","174,010","360,211","174,846","361,950"
,중랑구,"182,220","400,678","185,506","396,807","187,693","393,600","187,898","389,928","188,653","387,433","188,661","384,320"
,성북구,"193,801","454,532","193,965","444,295","197,296","442,680","197,859","441,855","197,445","436,901","196,988","433,569"
,강북구,"144,805","316,750","144,410","307,537","144,725","300,824","144,557","296,934","143,338","291,372","143,249","288,797"
,도봉구,"138,595","333,495","138,120","323,752","138,836","318,100","138,376","312,858","138,756","308,864","139,002","305,391"
,노원구,"217,148","535,495","217,272","522,225","219,065","514,445","218,341","506,989","218,665","501,727","218,325","495,111"
,은평구,"208,209","482,509","212,725","479,607","215,178","476,013","213,989","468,766","216,340","470,185","215,655","464,466"
,서대문구,"142,109","325,875","143,180","318,814","145,044","317,075","147,146","321,966","147,467","320,378","146,422","318,085"
,마포구,"176,133","386,086","177,170","378,216","180,702","378,629","181,034","376,542","181,745","374,962","181,157","371,852"
,양천구,"177,436","460,532","180,682","456,019","181,765","449,378","181,072","442,345","180,619","437,774","180,133","432,901"
,강서구,"263,645","595,703","267,442","582,804","272,572","578,426","274,283","573,711","274,326","567,159","273,685","560,094"
,구로구,"177,275","438,308","180,027","426,675","181,916","419,984","184,268","417,983","184,333","414,271","183,970","410,727"
,금천구,"111,542","251,370","114,402","244,564","118,697","244,901","120,051","242,467","120,985","240,680","121,136","238,431"
,영등포구,"177,743","404,766","184,133","403,070","188,193","400,241","190,252","398,999","191,709","397,942","192,568","396,834"
,동작구,"181,761","407,802","183,579","398,205","186,419","394,649","186,534","390,377","187,417","389,576","187,750","386,897"
,관악구,"270,760","516,662","273,736","504,140","279,353","500,336","285,914","502,628","286,257","497,827","288,132","497,213"
,서초구,"173,580","434,801","172,181","425,103","169,895","413,677","168,234","408,979","170,382","412,275","170,810","412,715"
,강남구,"233,624","549,898","233,363","539,538","234,612","537,338","234,735","537,817","243,510","559,720","245,139","563,189"
,송파구,"279,301","680,883","280,237","667,115","285,106","668,261","285,489","663,704","287,052","659,661","286,911","654,127"
,강동구,"190,019","457,042","199,088","468,815","201,926","465,097","202,637","464,027","205,071","465,549","219,979","500,002"
